,page,country,article_quality_est,Population
0,Bir I of Kanem,Chad,Stub,16877000.0
1,Information Minister of the Palestinian National Authority,Palestinian Territory,Stub,5008000.0
2,Yos Por,Cambodia,Stub,15497000.0
3,Julius Gregr,Czech Republic,Stub,
4,Edvard Gregr,Czech Republic,Stub,
5,Robert Douglas Cook,Canada,Stub,38190000.0
6,List of Grand Viziers of Egypt,Egypt,Stub,100803000.0
7,Sehba Musharraf,Pakistan,Stub,220940000.0
8,Butler-Belmont family,United States,Start,329878000.0
9,List of Canadian incumbents by year,Canada,Stub,38190000.0
10,Sheikh Sadiq Ali Ansari,India,Stub,1400100000.0
11,Cayetano Pacana,Philippines,Stub,109581000.0
12,Abdullah II of Kanem,Chad,Stub,16877000.0
13,Heard-Hawes family,United States,C,329878000.0
14,List of German politicians,Germany,Stub,83300000.0
15,Raspicious Dzanjalimodzi,Malawi,Stub,19130000.0
16,Manuel Antonio Blas Sáenz,Nicaragua,Stub,6596000.0
17,Béla Vörösmarty,Hungary,Stub,9767000.0
18,Presidents of the General Council of French Guiana,French Guiana,Start,294000.0
19,Finn Sjue,Norway,Stub,5387000.0
20,Russell family (American political family),United States,Stub,329878000.0
21,Maximo Suniel,Philippines,Stub,109581000.0
22,Mihály Mikes (soldier),Hungary,Stub,9767000.0
23,The Man with the Chocolate Robe,Iran,Stub,84150000.0
24,List of Malta Labour Party leaders,Malta,Stub,522000.0
25,Marquis of Amboage,Spain,Stub,47635000.0
26,Salmama II of Kanem,Chad,Stub,16877000.0
27,Kuri I of Kanem,Chad,Stub,16877000.0
28,Mohammed I of Kanem,Chad,Stub,16877000.0
29,Timoteo Menéndez,El Salvador,Stub,6481000.0
30,"List of members of the parliament of Malta, 2008–13",Malta,B,522000.0
31,Gervas Clay,Zimbabwe,Stub,14863000.0
32,Samuel Nii Ayi Mankattah,Ghana,Stub,31073000.0
33,Hemed Khamis,Tanzania,Stub,59734000.0
34,Mavua Mudima,"Congo, Dem. Rep. of",Stub,
35,Council of Ministers of Togo,Togo,Start,8279000.0
36,Finance Minister of the Palestinian National Authority,Palestinian Territory,Start,5008000.0
37,Abdullah Al Nuaimi (politician),United Arab Emirates,Start,9778000.0
38,Zhang Zhenzhou,China,Stub,1402385000.0
39,Feng Liao,China,Start,1402385000.0
40,Wu Shihuo,China,Start,1402385000.0
41,Kennedy Kiliku,Kenya,Stub,53528000.0
42,Kamu de Almeida,Angola,Stub,32522000.0
43,Hiša Marije Pomočnice,Slovenia,Stub,2103000.0
44,Đuro Šurmin,Croatia,Start,4020000.0
45,Suishō,Japan,Stub,125967000.0
46,Nikolai Sulima,Russia,Stub,146733000.0
47,Khayelihle Mathaba,South Africa,Stub,59628000.0
48,Vilho Turunen,Finland,Stub,5529000.0
49,Vihtori Aromaa,Finland,Stub,5529000.0
50,Jonathan Wartiovaara,Finland,Stub,5529000.0
51,Arvi Turkka,Finland,Stub,5529000.0
52,Juho Heikkinen,Finland,Stub,5529000.0
53,Emanuel Aromaa,Finland,Stub,5529000.0
54,Jukka Lankila,Finland,Stub,5529000.0
55,Jalmari Malmi,Finland,Stub,5529000.0
56,Viljo Pousi,Finland,Stub,5529000.0
57,Jooseppi Kauranen,Finland,Stub,5529000.0
58,Sardar Aurang Zeb Khan,Pakistan,Stub,220940000.0
59,Jeremiah Kasambala,Tanzania,Stub,59734000.0
60,Sofia Hjulgrén,Finland,Stub,5529000.0
61,Vihtori Viitanen,Finland,Stub,5529000.0
62,Tirso Neri,Philippines,Stub,109581000.0
63,Cleisthenes (son of Sibyrtius),Greece,Stub,10700000.0
64,Demonax (lawmaker),Greece,Start,10700000.0
65,List of 2009 Canadian incumbents,Canada,Start,38190000.0
66,"Zero, None Of The Above",United Kingdom,Stub,67160000.0
67,Johan Franzén (politician),Finland,Stub,5529000.0
68,Planning Minister of the Palestinian National Authority,Palestinian Territory,Start,5008000.0
69,Liu Hongchang,China,B,1402385000.0
70,Custos Rotulorum of County Wicklow,Ireland,Stub,5003000.0
71,Custos Rotulorum of County Cork,Ireland,Stub,5003000.0
72,Hegesippus (orator),Greece,Stub,10700000.0
73,Pheroze Sethna,India,Stub,1400100000.0
74,Ibrahim Kassas,Tunisia,Stub,11896000.0
75,Dilip Sarkar,India,Stub,1400100000.0
76,"List of members of the parliament of East Timor, 2001–07",Timor Leste,Start,
77,Gatluak Deng Garang,South Sudan,Stub,11194000.0
78,List of members of the National Assembly of Botswana 2009–14,Botswana,Start,2317000.0
79,Aliyu Ibrahim Gebi,Nigeria,Stub,206140000.0
80,Wang Jichang,China,Start,1402385000.0
81,Waldemir Moka,Brazil,Stub,211812000.0
82,Custos Rotulorum of County Waterford,Ireland,Stub,5003000.0
83,Lee Ja-kyum,"Korea, South",Stub,51781000.0
84,Wei Huan-zi,China,Stub,1402385000.0
85,O'Higgins Pioche,Chile,Stub,19470000.0
86,"List of Captains Regent of San Marino, 1500–1700",San Marino,Start,34000.0
87,Eiler Grubbe,Denmark,Stub,5829000.0
88,"List of members of the Løgting, 1974–78",Faroese,Start,
89,"List of members of the Løgting, 1978–80",Faroese,Start,
90,"List of members of the Løgting, 1980–84",Faroese,Start,
91,"List of members of the Løgting, 1984–88",Faroese,Start,
92,"List of members of the Løgting, 1990–94",Faroese,Start,
93,"List of members of the Løgting, 1994–98",Faroese,Start,
94,Olli Zitting,Finland,Stub,5529000.0
95,Pierre Philibert de Blancheton,France,Stub,64940000.0
96,Luiza Xhuvani,Albania,Stub,2838000.0
97,Diego de Villalba y Toledo,Spain,Start,47635000.0
98,Jabulani Dube,Zimbabwe,Stub,14863000.0
99,James Bisset (mayor),Cape Colony,Start,
100,Ministry of Economy and Finance (Benin),Benin,Stub,12209000.0
101,Gheorghe Barbu,Romania,Stub,19241000.0
102,Pan Yunduan,China,Stub,1402385000.0
103,Otto Elfving,Finland,Stub,5529000.0
104,List of Sri Lankan politicians,Sri Lanka,Stub,21937000.0
105,Fathema Ismail,India,Stub,1400100000.0
106,Rafael Simancas,Spain,Stub,47635000.0
107,Adela Serra-Ty,Philippines,Stub,109581000.0
108,Muhammad al-Ghafri,Syria,Stub,19398000.0
109,Augustus Joseph Tancred,Cape Colony,Stub,
110,Eneida de León,Uruguay,Stub,3531000.0
111,Read family of Delaware,United States,Stub,329878000.0
112,Johan Conrad Silberbauer,Cape Colony,Stub,
113,Rossy Barbour,Canada,Stub,38190000.0
114,Reginald Nii Bi Ayibonte,Ghana,Stub,31073000.0
115,Franz Schimmelpfennig von der Ove,Poland,Stub,38368000.0
116,Ville Korhonen (politician),Finland,Stub,5529000.0
117,Onni Hallsten,Finland,Stub,5529000.0
118,Yosia Nadiope of Busoga,Uganda,Stub,45741000.0
119,María del Socorro Bustamante,Colombia,Stub,49444000.0
120,Enrique Pintado,Uruguay,Stub,3531000.0
121,Instructions of the Year XIII,Uruguay,Stub,3531000.0
122,Governor of Gagauzia,Moldova,Stub,3535000.0
123,Neferkheperu-her-sekheper,Egypt,Start,100803000.0
124,Abeifaa Karbo,Ghana,Stub,31073000.0
125,Auguste Louis Antoine Fabre,France,Stub,64940000.0
126,Maksud Ibragimov,Tajikistan,Start,9429000.0
127,Miguel R. Morales,Nicaragua,Stub,6596000.0
128,Aljoša Čampara,Bosnia-Herzegovina,Start,3281000.0
129,Walter Simon (philanthropist),Germany,Start,83300000.0
130,Abu Sayyaf (Jordan),Jordan,Start,10679000.0
131,List of provincial governors of the Democratic Republic of the Congo,"Congo, Dem. Rep. of",Stub,
132,Torsten Nielsen,Denmark,Stub,5829000.0
133,"List of members of the National Assembly (South Korea), 1950–54",South Korea,Stub,
134,Mufti Abdullah,Pakistan,Stub,220940000.0
135,William Matthew Harries,South Africa,Stub,59628000.0
136,Maanu Paul,New Zealand,Stub,4987000.0
137,County governor (Lithuania),Lithuania,Stub,2794000.0
138,Burhan Muhammad,Indonesia,Stub,271739000.0
139,Martim Afonso de Brito,Portugal,Stub,10255000.0
140,Gonghe Regency,China,Stub,1402385000.0
141,Irshadali Sumra,Kenya,Stub,53528000.0
142,Koufu,China,Stub,1402385000.0
143,Political families of Odisha,India,Stub,1400100000.0
144,Firmin Aerts,Belgium,Stub,11515000.0
145,James Cotterell Hoole,Cape Colony,Stub,
146,Philip Johannes Andries Watermeyer,South Africa,Start,59628000.0
147,Ioan Rus,Romania,Stub,19241000.0
148,Pieter Adrianus Ossewaarde,Netherlands,Stub,17467000.0
149,Christoffel van Swoll,Netherlands,Start,17467000.0
150,National Foundation for Women Legislators,United States,Start,329878000.0
151,Les Scheininger,Canada,C,38190000.0
152,Patrick Canning,Canada,Start,38190000.0
153,Kalina Krumova,Bulgaria,Start,6927000.0
154,Pierre Chatenet,France,Stub,64940000.0
155,Henry Soum,Monaco,Stub,38000.0
156,Brij Bhushan Mehra,India,Stub,1400100000.0
157,Aurelian Pavelescu,Romania,Stub,19241000.0
158,Madut Kon Awan,South Sudan,Stub,11194000.0
159,Taieb Ghafes,Morocco,Stub,35952000.0
160,Teodor Andrault de Langeron,Poland,Stub,38368000.0
161,Harry Davies (politician),Zimbabwe,Start,14863000.0
